"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit_bus","time_transit_train","time_waiting","n_changes","distance_total","distance_walk","distance_bus","distance_train","stop_PC6"
"2524","2531X",52.05296,4.313358,52.0564879845059,4.29763546300736,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2532C","3584",52.0527610273069,4.30393289541152,52.08607,5.167942,1,0,97.7,16.9,16,46,18.8,2,70.4,1.1,5.4,64,"2532CP"
"3584","2532C",52.08607,5.167942,52.0527610273069,4.30393289541152,0,1,90.4,18.5,11,46,14.9,2,71.1,1.2,5.9,64,"2532CP"
"2531B","2517",52.0554542033459,4.29605895548404,52.08726,4.285609,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2517","2531B",52.08726,4.285609,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531E","2491",52.0534049735869,4.29952365154343,52.06734,4.384688,1,0,50.5,28.6,10.5,9,2.4,1,11.6,2,5.8,3.7,"2532CP"
"2531A","2712",52.0572754569254,4.29968548273034,52.04909,4.502329,1,0,60.4,35.3,0,22,3,1,18.4,2.4,0,16.1,"2532CP"
"2712","2531A",52.04909,4.502329,52.0572754569254,4.29968548273034,0,1,60.1,22.8,18,11,8.4,1,17.3,1.6,6.2,9.5,"2531AV"
"5143","2531A",51.68121,5.091089,52.0572754569254,4.29968548273034,0,1,145.1,46.4,28,57,13.7,2,108.6,3.4,17.4,87.7,"2532CP"
"2531A","5143",52.0572754569254,4.29968548273034,51.68121,5.091089,1,0,164.3,38.2,38.1,65,23,4,129.6,2.7,18.7,108.2,"2531AN"
"2531B","4284",52.0554542033459,4.29605895548404,51.80003,5.0086,1,0,145.1,19.8,39.6,63,22.8,3,88,1.4,20.3,66.3,"2531AA"
"4284","2531B",51.80003,5.0086,52.0554542033459,4.29605895548404,0,1,148.1,21.8,53,43,30.3,4,109.3,1.5,41.4,66.3,"2532CP"
"2531B","2596",52.0554542033459,4.29605895548404,52.09274,4.319509,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2596","2531B",52.09274,4.319509,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531V","2596",52.0548564711263,4.30164930928224,52.09274,4.319509,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2596","2531V",52.09274,4.319509,52.0548564711263,4.30164930928224,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2712",52.0558279026928,4.29833090580325,52.04909,4.502329,1,0,61.9,36.9,0,22,3,1,18.6,2.5,0,16.1,"2532CP"
"2712","2531C",52.04909,4.502329,52.0558279026928,4.29833090580325,0,1,56.8,24.7,17.2,11,3.9,1,17.4,1.7,6.2,9.5,"2531AV"
"2533C","1013",52.0487353984816,4.29328303683979,52.3969,4.874555,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531A","2564",52.0572754569254,4.29968548273034,52.06811,4.258003,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2564","2531A",52.06811,4.258003,52.0572754569254,4.29968548273034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531X","2514",52.0564879845059,4.29763546300736,52.08523,4.308987,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2514","2531X",52.08523,4.308987,52.0564879845059,4.29763546300736,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","3522",52.0566910715675,4.30682838231389,52.0728,5.114623,1,0,96.8,29.5,3,46,18.3,2,67.6,2,1.6,64,"2532CP"
"3522","2531S",52.0728,5.114623,52.0566910715675,4.30682838231389,0,1,93,24.9,8,46,14.1,2,68,1.7,2.3,64,"2532CP"
"2531B","3011",52.0554542033459,4.29605895548404,51.91868,4.487522,1,0,43.9,17.9,0,26,0,0,23.6,1.3,0,22.3,"2532CP"
"3011","2533J",51.91868,4.487522,52.0509015842924,4.29388139874333,0,1,51.6,26.6,0,25,0,0,24.2,1.9,0,22.3,"2532CP"
"3011","2531B",51.91868,4.487522,52.0554542033459,4.29605895548404,0,1,48,23,0,25,0,0,23.9,1.6,0,22.3,"2532CP"
"2525","2531S",52.06238,4.303305,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531E","5143",52.0534049735869,4.29952365154343,51.68121,5.091089,1,0,166.6,29.8,50.3,63,23.4,3,133.8,2,23.6,108.2,"2533SR"
"5143","2531E",51.68121,5.091089,52.0534049735869,4.29952365154343,0,1,145.9,34.6,32,57,22.3,3,108.8,2.5,18.6,87.7,"2532CP"
"2531S","2517",52.0566910715675,4.30682838231389,52.08726,4.285609,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2517","2531S",52.08726,4.285609,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2566",52.0566910715675,4.30682838231389,52.08079,4.252308,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2566","2531S",52.08079,4.252308,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2566","2541R",52.08079,4.252308,52.0430329074203,4.28099566871628,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2841",52.0566910715675,4.30682838231389,51.99825,4.652384,1,0,103.9,39.5,13,25,26.4,2,39.7,2.7,5.3,31.7,"2532CP"
"2841","2531S",51.99825,4.652384,52.0566910715675,4.30682838231389,0,1,95.4,29.2,35.5,23,7.7,2,38.5,2.1,11.3,25.1,"2531SK"
"2533L","2274",52.0524663644024,4.29612770686802,52.07387,4.350349,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"3011","2533V",51.91868,4.487522,52.0502735545728,4.28958147252202,0,1,56.3,31.3,0,25,0,0,24.6,2.3,0,22.3,"2532CP"
"1066","2541R",52.34028,4.817704,52.0430329074203,4.28099566871628,0,1,91.2,24.4,25.8,30,11.1,2,57.2,1.7,13,42.5,"2545NW"
"2531V","2514",52.0548564711263,4.30164930928224,52.08523,4.308987,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2514","2531V",52.08523,4.308987,52.0548564711263,4.30164930928224,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531A","2516",52.0572754569254,4.29968548273034,52.06783,4.338401,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2516","2531A",52.06783,4.338401,52.0572754569254,4.29968548273034,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545G","3522",52.04924,4.275293,52.0728,5.114623,1,0,103.8,31.3,20.2,39,13.3,2,70.5,2,6.8,61.7,"2545NW"
"2515","2533H",52.0727,4.321192,52.0487012158308,4.29070086181086,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2597","2533H",52.10758,4.313337,52.0487012158308,4.29070086181086,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531B","1312",52.0554542033459,4.29605895548404,52.37587,5.189835,1,0,106.5,19.5,15.5,64,7.5,2,88.4,1.2,6.4,80.8,"2533SR"
"1312","2531B",52.37587,5.189835,52.0554542033459,4.29605895548404,0,1,106.9,22.1,22.2,58,4.6,2,90.6,1.5,8.5,80.6,"2533SR"
"2531B","2524",52.0554542033459,4.29605895548404,52.05296,4.313358,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2524","2531B",52.05296,4.313358,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531B","2571",52.0554542033459,4.29605895548404,52.06937,4.286918,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2571","2531B",52.06937,4.286918,52.0554542033459,4.29605895548404,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531S","2516",52.0566910715675,4.30682838231389,52.06783,4.338401,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2516","2531S",52.06783,4.338401,52.0566910715675,4.30682838231389,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2282",52.0558279026928,4.29833090580325,52.0519,4.334647,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2282","2531C",52.0519,4.334647,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531C","2513",52.0558279026928,4.29833090580325,52.0788,4.302386,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2513","2531C",52.0788,4.302386,52.0558279026928,4.29833090580325,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531B","3522",52.0554542033459,4.29605895548404,52.0728,5.114623,1,0,100.9,31.2,17.3,39,13.3,2,69.3,2,5.7,61.7,"2533SR"
"3522","2531B",52.0728,5.114623,52.0554542033459,4.29605895548404,0,1,103.1,28.9,23.9,38,12.3,2,69.9,2,7.7,60.3,"2533SR"
"2288","2542K",52.03277,4.337166,52.0364390701642,4.26312437750577,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531T","2573",52.0536673452504,4.30215544399475,52.06537,4.284134,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2573","2531T",52.06537,4.284134,52.0536673452504,4.30215544399475,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2531B","1066",52.0554542033459,4.29605895548404,52.34028,4.817704,1,0,89.2,28.1,22.9,29,9.3,2,56.3,1.9,11.9,42.5,"2533SR"
"1066","2531B",52.34028,4.817704,52.0554542033459,4.29605895548404,0,1,88.5,24.3,24,30,10.2,2,56,1.7,11.7,42.5,"2531AV"
"2531E","2596",52.0534049735869,4.29952365154343,52.09274,4.319509,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2596","2531E",52.09274,4.319509,52.0534049735869,4.29952365154343,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2533C","2513",52.0487353984816,4.29328303683979,52.0788,4.302386,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531C","2285",52.0558279026928,4.29833090580325,52.03807,4.302551,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
"2545G","2523",52.0492425239982,4.27529335026369,52.05678,4.319141,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"-1"
