"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2525","2544E",4.303305,52.06238,4.250288,52.04648
"2544E","2685",4.250288,52.04648,4.223557,52.02624
"2685","2544E",4.223557,52.02624,4.250288,52.04648
"2544E","2652",4.250288,52.04648,4.460542,51.99096
"2652","2544E",4.460542,51.99096,4.250288,52.04648
"2544E","2544L",4.250288,52.04648,4.251908,52.03512
"2544L","2544E",4.251908,52.03512,4.250288,52.04648
"2544E","2548",4.250288,52.04648,4.290399,52.02944
"2548","2652",4.290399,52.02944,4.460542,51.99096
"2548","2544E",4.290399,52.02944,4.250288,52.04648
"2521","2544N",4.318427,52.06328,4.244986,52.03423
"2544N","2543B",4.244986,52.03423,4.261462,52.04082
"2545G","3061",4.275293,52.04924,4.504965,51.92704
"2544E","2583",4.250288,52.04648,4.256884,52.09254
"2583","2544E",4.256884,52.09254,4.250288,52.04648
"2544E","2543V",4.250288,52.04648,4.259972,52.03965
"2543V","2544E",4.259972,52.03965,4.250288,52.04648
"2544E","2584",4.250288,52.04648,4.279296,52.10258
"2584","2544E",4.279296,52.10258,4.250288,52.04648
"2597","2544E",4.313337,52.10758,4.250288,52.04648
"2552","2573",4.247789,52.05459,4.284134,52.06537
"2552","2543B",4.247789,52.05459,4.261462,52.04082
"2544E","2353",4.250288,52.04648,4.53855,52.16652
"2353","2544J",4.53855,52.16652,4.258303,52.04502
"2544E","2641",4.250288,52.04648,4.434602,52.01597
"2641","2544E",4.434602,52.01597,4.250288,52.04648
"2597","2545G",4.313337,52.10758,4.275293,52.04924
"2544E","1012",4.250288,52.04648,4.896023,52.37454
"1012","2545G",4.896023,52.37454,4.275293,52.04924
"2544E","2533S",4.250288,52.04648,4.28645030227064,52.0553882157222
"2533S","2544E",4.28645030227064,52.0553882157222,4.250288,52.04648
"2544E","1043",4.250288,52.04648,4.823093,52.38991
"1043","2544E",4.823093,52.38991,4.250288,52.04648
"2544E","2132",4.250288,52.04648,4.70623,52.2958
"2132","2544E",4.70623,52.2958,4.250288,52.04648
"2544E","2516",4.250288,52.04648,4.338401,52.06783
"2516","2544E",4.338401,52.06783,4.250288,52.04648
"2544E","2914",4.250288,52.04648,4.621772,51.97679
"2914","2544E",4.621772,51.97679,4.250288,52.04648
"2914","2553",4.621772,51.97679,4.221591,52.04493
"2553","2544M",4.221591,52.04493,4.251294,52.03961
"2544E","2533V",4.250288,52.04648,4.28958147243358,52.0502735545442
"2533V","2544E",4.28958147243358,52.0502735545442,4.250288,52.04648
"1043","2511",4.823093,52.38991,4.317539,52.07851
"2511","1043",4.317539,52.07851,4.823093,52.38991
"2546A","2514",4.275727,52.05775,4.308987,52.08523
"2514","2546A",4.308987,52.08523,4.275727,52.05775
"2514","2545G",4.308987,52.08523,4.275293,52.04924
"2545G","2546A",4.275293,52.04924,4.275727,52.05775
"2546A","2554",4.275727,52.05775,4.219691,52.06499
"2554","2546A",4.219691,52.06499,4.275727,52.05775
"2546A","2546X",4.275727,52.05775,4.277613,52.06074
"2546X","2546A",4.277613,52.06074,4.275727,52.05775
"2546A","2552",4.275727,52.05775,4.247789,52.05459
"2552","2546A",4.247789,52.05459,4.275727,52.05775
"2546B","2546B",4.273997,52.05912,4.273997,52.05912
"2546B","2545G",4.273997,52.05912,4.275293,52.04924
"2545G","2546B",4.275293,52.04924,4.273997,52.05912
"2546B","2511",4.273997,52.05912,4.317539,52.07851
"2511","2546B",4.317539,52.07851,4.273997,52.05912
"2546B","2571",4.273997,52.05912,4.286918,52.06937
"2571","2546B",4.286918,52.06937,4.273997,52.05912
"2546S","2518",4.271055,52.05787,4.294222,52.08114
"2518","2546S",4.294222,52.08114,4.271055,52.05787
"2518","2547",4.294222,52.08114,4.266762,52.06093
"2547","2546S",4.266762,52.06093,4.271055,52.05787
"2546S","2546V",4.271055,52.05787,4.275566,52.05969
"2546V","2546S",4.275566,52.05969,4.271055,52.05787
"2546A","2518",4.275727,52.05775,4.294222,52.08114
