"departure","arrival","departure_longitude","departure_latitude","arrival_longitude","arrival_latitude"
"2546E","2566","4.252308","4.271158","52.05806","52.08079"
"2546E","2562","4.271158","4.281926","52.05806","52.07473"
"2546C","2555","4.225491","4.273469","52.05666","52.06100"
"2533S","2546C","4.273469","4.286450","52.05539","52.05666"
"2546A","2562","4.275727","4.281926","52.05775","52.07473"
"2554","2562","4.219691","4.281926","52.06499","52.07473"
"2543A","2546A","4.264118","4.275727","52.04346","52.05775"
"2545V","2546B","4.268400","4.273997","52.05004","52.05912"
"2546B","2564","4.258003","4.273997","52.05912","52.06811"
"2546B","2616","4.273997","4.378230","52.01987","52.05912"
"2546C","2722","4.273469","4.513164","52.05349","52.05666"
"2245","2546C","4.273469","4.399369","52.05666","52.12127"
"2512","2545C","4.265949","4.304762","52.05641","52.07346"
"2512","2517","4.285609","4.304762","52.07346","52.08726"
"2517","2545C","4.265949","4.285609","52.05641","52.08726"
"2545A","2545C","4.263082","4.265949","52.05302","52.05641"
"2544G","2545C","4.259543","4.265949","52.04253","52.05641"
"2546R","2566","4.252308","4.268876","52.05706","52.08079"
"2533S","2546R","4.268876","4.286450","52.05539","52.05706"
"2546R","2546S","4.268876","4.271055","52.05706","52.05787"
"2546R","2584","4.268876","4.279296","52.05706","52.10258"
"2562","2584","4.279296","4.281926","52.07473","52.10258"
"2546R","2562","4.268876","4.281926","52.05706","52.07473"
"2546R","2596","4.268876","4.319509","52.05706","52.09274"
"2546B","2547","4.266762","4.273997","52.05912","52.06093"
"2545E","2545V","4.265062","4.268400","52.05004","52.05389"
"2512","2546S","4.271055","4.304762","52.05787","52.07346"
"2512","2545G","4.275293","4.304762","52.04924","52.07346"
"2546S","2564","4.258003","4.271055","52.05787","52.06811"
"2546S","2546S","4.271055","4.271055","52.05787","52.05787"
"2543B","2546C","4.261462","4.273469","52.04082","52.05666"
"2533C","2546C","4.273469","4.293283","52.04874","52.05666"
"2546C","2595","4.273469","4.334532","52.05666","52.08087"
"2543A","2595","4.264118","4.334532","52.04346","52.08087"
"2543A","2546C","4.264118","4.273469","52.04346","52.05666"
"2546C","2546S","4.271055","4.273469","52.05666","52.05787"
"2546E","2571","4.271158","4.286918","52.05806","52.06937"
"2543B","2546E","4.261462","4.271158","52.04082","52.05806"
"2514","2545E","4.265062","4.308987","52.05389","52.08523"
"2533A","2545E","4.265062","4.278652","52.05363","52.05389"
"2545E","2572","4.265062","4.293560","52.05389","52.06443"
"2514","2544M","4.251294","4.308987","52.03961","52.08523"
"2543B","2545E","4.261462","4.265062","52.04082","52.05389"
"2516","2545C","4.265949","4.338401","52.05641","52.06783"
"2545E","2555","4.225491","4.265062","52.05389","52.06100"
"2545G","2555","4.225491","4.275293","52.04924","52.06100"
"2545E","2548","4.265062","4.290399","52.02944","52.05389"
"2518","2546X","4.277613","4.294222","52.06074","52.08114"
"2546S","2546X","4.271055","4.277613","52.05787","52.06074"
"2546X","2596","4.277613","4.319509","52.06074","52.09274"
"2275","2546V","4.275566","4.352716","52.05969","52.06283"
"2275","2552","4.247789","4.352716","52.05459","52.06283"
"2245","2546V","4.275566","4.399369","52.05969","52.12127"
"2545E","2545J","4.265062","4.273905","52.05018","52.05389"
"2545J","2546B","4.273905","4.273997","52.05018","52.05912"
"2514","2545J","4.273905","4.308987","52.05018","52.08523"
