"departure","arrival","distance_km"
"2542X","2531E",3.5
"2545S","2531E",2
"2532S","2531E",0.5
"2543S","2531E",2.7
"2545N","2531E",1.5
"2545D","2531E",2.2
"2532X","2531E",1.1
"2544E","2531E",3.5
"2533X","2531E",1.1
"2545P","2531E",1.4
"2544C","2531E",3.2
"2541E","2531E",1.9
"2543G","2531E",3.6
"2533E","2531E",0.4
"2531X","2531E",0.4
"2541B","2531E",1.8
"2542R","2531E",2.2
"2545E","2531E",2.4
"2542A","2531E",2.4
"2544P","2531E",4.2
"2545W","2531E",2
"2533V","2531E",0.8
"2544K","2531E",3
"2541R","2531E",1.7
"2544H","2531E",2.8
"2533L","2531E",0.3
"2533G","2531E",0.9
"2533A","2531E",1.4
"2546E","2531E",2
"2543V","2531E",3.1
"2531P","2531G",0.1
"2542P","2531G",3
"2531H","2531G",0
"2544G","2531G",3.2
"2532R","2531G",0.7
"2545R","2531G",2
"2542T","2531G",2.5
"2544L","2531G",4
"2541R","2531G",1.8
"2542L","2531G",3.5
"2544D","2531G",3.6
"2531T","2531G",0.4
"2544M","2531G",3.8
"2544A","2531G",2.6
"2533H","2531G",0.9
"2532T","2531G",0.5
"2546B","2531G",2.3
"2542H","2531G",3
"2543E","2531G",3.8
"2545W","2531G",2.3
"2531X","2531G",0.8
"2546C","2531G",2.2
"2543S","2531G",2.9
"2545D","2531G",2.4
"2531K","2531G",0.9
"2543R","2531G",2.7
"2546V","2531G",2.2
"2545C","2531G",2.7
"2545N","2531G",1.8
"2533G","2531G",1.1
"2533V","2531G",1
"2545P","2531G",1.7
"2544V","2531G",3.1
"2542C","2531G",2.8
"2545A","2531G",2.8
"2543G","2531G",3.7
"2531V","2531G",0.5
"2533S","2531G",1.3
"2532A","2531G",1.1
"2531J","2531G",0.4
"2531N","2531G",0.2
"2545X","2531G",2.5
"2546S","2531G",2.4
"2542E","2531G",3
"2532V","2531G",0.9
"2545G","2531G",2
"2532E","2531G",0.7
"2544T","2531G",3.4
"2533E","2531G",0.8
"2545S","2531G",2.2
"2533K","2531G",0.7
"2541E","2531G",2
"2531S","2531G",0.7
"2542K","2531G",3.2
"2532C","2531G",0.3
"2533X","2531G",1.2
"2545L","2531G",2
"2542N","2531G",3.6
"2544P","2531G",4.3
"2541V","2531G",1.8
"2533B","2531G",1.4
"2544E","2531G",3.7
"2541C","2531G",1.5
"2544W","2531G",3.2
"2541A","2531G",2.1
"2545E","2531G",2.7
"2542G","2531G",3.1
"2533T","2531G",0.7
"2542X","2531G",3.6
"2542A","2531G",2.5
"2541D","2531G",1.9
"2541P","2531G",1.8
"2544C","2531G",3.5
"2546T","2531G",2.2
"2532D","2531G",0.7
"2533J","2531G",0.7
"2541G","2531G",2.8
"2541B","2531G",2.1
"2545V","2531G",2.5
"2545H","2531G",1.7
"2546X","2531G",2.2
"2544H","2531G",3
"2541X","2531G",2.1
"2542B","2531G",2.9
"2541S","2531G",1.8
"2542R","2531G",2.2
"2544X","2531G",3.1
"2541H","2531G",2
"2543T","2531G",3
"2542V","2531G",3
"2532X","2531G",1
"2543B","2531G",3.1
"2544J","2531G",3.2
"2542J","2531G",3.4
"2544R","2531G",3.9
"2546E","2531G",2.4
"2544S","2531G",3.8
"2533C","2531G",0.8
"2532B","2531G",0.6
"2531R","2531G",0.2
"2545B","2531G",2.1
"2544K","2531G",3.2
"2543X","2531G",3.6
"2543C","2531G",3.5
"2545T","2531G",2.2
"2546A","2531G",2.1
"2545K","2531G",2.3
"2533A","2531G",1.8
"2544N","2531G",4.4
"2544B","2531G",2.5
"2545J","2531G",2.1
"2542W","2531G",3.4
"2543A","2531G",2.9
"2543V","2531G",3.3
"2541T","2531G",1.8
"2532S","2531G",0.4
"2546R","2531G",2.5
"2541J","2531G",2.1
"2533L","2531G",0.6
"2542L","2531H",3.5
"2544W","2531H",3.2
"2545E","2531H",2.7
"2541A","2531H",2.1
"2542X","2531H",3.6
"2533B","2531H",1.4
"2546E","2531H",2.4
"2541T","2531H",1.8
"2544S","2531H",3.8
"2546A","2531H",2.1
"2531K","2531H",0.9
"2544M","2531H",3.8
"2533A","2531H",1.8
"2544B","2531H",2.6
"2545D","2531H",2.4
"2543S","2531H",2.9
"2545H","2531H",1.7
"2542V","2531H",3
"2542G","2531H",3.1
"2542N","2531H",3.6
"2542W","2531H",3.4
"2546C","2531H",2.2
"2544E","2531H",3.7
"2544K","2531H",3.2
"2532B","2531H",0.6
"2545G","2531H",2
"2546T","2531H",2.2
"2544X","2531H",3.1
"2542H","2531H",3.1
"2541X","2531H",2.1
"2542T","2531H",2.5
"2541V","2531H",1.8
"2541D","2531H",1.9
"2543C","2531H",3.6
"2533G","2531H",1.1
"2544D","2531H",3.6
"2545B","2531H",2.2
"2545A","2531H",2.8
"2545S","2531H",2.2
"2533J","2531H",0.7
"2545C","2531H",2.7
"2542E","2531H",3
"2541R","2531H",1.8
"2544P","2531H",4.3
"2544L","2531H",4
"2545K","2531H",2.3
"2531R","2531H",0.2
"2545V","2531H",2.5
"2545W","2531H",2.4
"2542K","2531H",3.2
"2531J","2531H",0.4
"2533K","2531H",0.7
"2544H","2531H",3
"2533S","2531H",1.3
"2543B","2531H",3.1
"2541G","2531H",2.8
"2542P","2531H",3
"2541P","2531H",1.9
"2541J","2531H",2.1
"2543T","2531H",3
"2541E","2531H",2
"2531N","2531H",0.2
"2545N","2531H",1.8
"2545P","2531H",1.7
"2532V","2531H",0.9
"2544T","2531H",3.4
"2543A","2531H",2.9
"2532X","2531H",1
"2542B","2531H",2.9
"2545T","2531H",2.2
"2531V","2531H",0.5
"2543E","2531H",3.8
"2544N","2531H",4.5
"2532C","2531H",0.2
"2541C","2531H",1.5
"2544C","2531H",3.5
"2533C","2531H",0.8
"2533V","2531H",1
"2532T","2531H",0.5
"2542C","2531H",2.8
"2545J","2531H",2.1
"2533H","2531H",1
"2532R","2531H",0.7
"2532S","2531H",0.4
"2545R","2531H",2.1
"2533X","2531H",1.3
"2531S","2531H",0.7
"2544V","2531H",3.1
"2543G","2531H",3.7
"2543V","2531H",3.3
"2542A","2531H",2.5
"2544G","2531H",3.2
"2546S","2531H",2.4
"2545X","2531H",2.5
"2542J","2531H",3.4
"2544R","2531H",3.9
"2532E","2531H",0.7
"2531X","2531H",0.8
"2532D","2531H",0.7
"2532A","2531H",1.1
"2544A","2531H",2.6
"2546V","2531H",2.2
"2541H","2531H",2
"2545L","2531H",2.1
"2533E","2531H",0.8
"2533L","2531H",0.6
"2541B","2531H",2.1
"2546X","2531H",2.2
"2542R","2531H",2.3
"2533T","2531H",0.8
"2546B","2531H",2.3
"2544J","2531H",3.2
"2541S","2531H",1.8
"2543X","2531H",3.7
"2546R","2531H",2.5
"2531P","2531H",0.2
"2531T","2531H",0.4
"2543R","2531H",2.7
"2545H","2531J",1.3
"2545A","2531J",2.7
"2531K","2531J",0.5
"2545T","2531J",2
"2533B","2531J",1.2
"2545E","2531J",2.6
"2542V","2531J",2.7
"2532B","2531J",0.2
"2542N","2531J",3.3
"2542P","2531J",2.6
"2532R","2531J",0.4
"2542G","2531J",2.8
"2541P","2531J",1.5
"2542K","2531J",2.9
"2542J","2531J",3.1
"2544X","2531J",2.9
"2543V","2531J",3
"2544G","2531J",2.9
"2544R","2531J",3.6
"2543X","2531J",3.3
"2542B","2531J",2.6
"2542H","2531J",2.7
"2531R","2531J",0.5
"2545C","2531J",2.6
"2542R","2531J",1.9
"2544N","2531J",4.1
"2543E","2531J",3.5
"2533S","2531J",1.3
"2533C","2531J",0.6
"2545K","2531J",2.1
"2545V","2531J",2.3
"2541B","2531J",1.9
"2531T","2531J",0.7
"2544L","2531J",3.7
"2531S","2531J",1.1
"2545J","2531J",1.9
"2541C","2531J",1.2
"2531V","2531J",0.8
"2543T","2531J",2.7
"2544P","2531J",4
"2542L","2531J",3.2
"2532D","2531J",0.4
"2541A","2531J",2
"2545L","2531J",1.8
"2532S","2531J",0.2
"2542C","2531J",2.4
"2544S","2531J",3.5
"2532C","2531J",0.6
"2533A","2531J",1.7
"2532T","2531J",0.2
"2541X","2531J",2
"2545S","2531J",2
"2544V","2531J",2.8
"2532E","2531J",0.4
"2542X","2531J",3.2
"2533T","2531J",0.5
"2533V","2531J",0.9
"2546C","2531J",2.2
"2542W","2531J",3.1
"2533G","2531J",0.8
"2546R","2531J",2.5
"2546S","2531J",2.4
"2545P","2531J",1.5
"2544W","2531J",3
"2544E","2531J",3.5
"2546B","2531J",2.3
"2531P","2531J",0.2
"2544H","2531J",2.8
"2542E","2531J",2.7
"2541D","2531J",1.6
"2545D","2531J",2.1
"2544K","2531J",3
"2541G","2531J",2.5
"2533X","2531J",1
"2544A","2531J",2.5
"2546A","2531J",2.1
"2543G","2531J",3.4
"2546T","2531J",2.2
"2541R","2531J",1.5
"2544M","2531J",3.5
"2533L","2531J",0.7
"2543R","2531J",2.4
"2531N","2531J",0.4
"2543C","2531J",3.2
"2541H","2531J",1.7
"2545X","2531J",2.4
"2546V","2531J",2.2
"2533J","2531J",0.6
"2545W","2531J",2.2
"2544J","2531J",3
"2544B","2531J",2.4
"2546E","2531J",2.4
"2533H","2531J",0.7
"2541T","2531J",1.5
"2544D","2531J",3.4
"2545N","2531J",1.5
"2542A","2531J",2.2
"2546X","2531J",2.2
"2543S","2531J",2.6
"2531X","2531J",1
"2545R","2531J",1.8
"2541V","2531J",1.7
"2533E","2531J",0.8
"2544C","2531J",3.3
"2541J","2531J",1.8
"2532A","2531J",0.7
"2533K","2531J",0.6
"2541E","2531J",1.7
"2541S","2531J",1.5
"2545G","2531J",1.8
"2543A","2531J",2.6
"2545B","2531J",1.9
"2543B","2531J",2.8
"2532V","2531J",0.5
"2532X","2531J",0.7
"2542T","2531J",2.2
"2544T","2531J",3.2
"2546T","2531K",2.2
"2544G","2531K",2.5
"2541V","2531K",1.5
"2545C","2531K",2.5
"2546B","2531K",2.3
"2544P","2531K",3.5
"2546C","2531K",2.1
"2544X","2531K",2.6
"2546R","2531K",2.4
"2533S","2531K",1.4
"2542K","2531K",2.4
"2544C","2531K",2.9
"2542A","2531K",1.7
"2545H","2531K",0.9
"2531S","2531K",1.6
"2546V","2531K",2.2
"2545E","2531K",2.4
"2543C","2531K",2.8
"2533B","2531K",1
"2533G","2531K",0.7
"2533V","2531K",0.8
"2545R","2531K",1.5
"2533A","2531K",1.6
"2545B","2531K",1.5
"2545W","2531K",1.9
"2545X","2531K",2.1
"2541E","2531K",1.3
"2543A","2531K",2.2
"2545G","2531K",1.5
"2541H","2531K",1.3
"2542V","2531K",2.2
"2541B","2531K",1.8
"2546S","2531K",2.3
"2531P","2531K",0.8
"2532S","2531K",0.5
"2533E","2531K",1
"2545K","2531K",1.8
"2532B","2531K",0.4
"2541X","2531K",1.9
"2545P","2531K",1.2
"2544V","2531K",2.5
"2545A","2531K",2.5
"2543V","2531K",2.5
"2533J","2531K",0.8
"2544L","2531K",3.2
"2541D","2531K",1.3
"2545L","2531K",1.5
"2542P","2531K",2.2
"2541G","2531K",2
"2532C","2531K",1.1
"2532A","2531K",0.3
"2542J","2531K",2.7
"2533H","2531K",0.6
"2546E","2531K",2.3
"2531T","2531K",1.1
"2543X","2531K",2.9
"2544B","2531K",2.2
"2544A","2531K",2.2
"2546A","2531K",2.1
"2545D","2531K",1.8
"2541S","2531K",1.1
"2544E","2531K",3.2
"2541J","2531K",1.4
"2544S","2531K",3.1
"2542N","2531K",2.8
"2533X","2531K",0.7
"2544H","2531K",2.4
"2543S","2531K",2.1
"2543T","2531K",2.3
"2544N","2531K",3.7
"2542B","2531K",2.1
"2532E","2531K",0.4
"2541P","2531K",1.1
"2532X","2531K",0.2
"2532T","2531K",0.4
"2542E","2531K",2.2
"2541T","2531K",1.2
"2545N","2531K",1.3
"2542X","2531K",2.8
"2542C","2531K",2
"2544R","2531K",3.2
"2543B","2531K",2.4
"2533L","2531K",0.9
"2544T","2531K",2.8
"2544D","2531K",3.1
"2533K","2531K",0.8
"2545V","2531K",2
"2545J","2531K",1.7
"2542L","2531K",2.7
"2545S","2531K",1.7
"2544J","2531K",2.6
"2542T","2531K",1.7
"2541A","2531K",1.8
"2542H","2531K",2.2
"2533C","2531K",0.5
"2532R","2531K",0.5
"2545T","2531K",1.7
"2532D","2531K",0.2
"2542W","2531K",2.6
"2543E","2531K",3
"2531R","2531K",1
"2544M","2531K",3.1
"2541R","2531K",1
"2542G","2531K",2.3
"2544K","2531K",2.6
"2532V","2531K",0.2
"2531N","2531K",0.9
"2531V","2531K",1.3
"2533T","2531K",0.5
"2546X","2531K",2.2
"2542R","2531K",1.4
"2541C","2531K",0.9
"2544W","2531K",2.6
"2531X","2531K",1.4
"2543R","2531K",2
"2543G","2531K",2.9
"2533C","2531N",0.9
"2532C","2531N",0.4
"2541D","2531N",2
"2544T","2531N",3.6
"2542J","2531N",3.5
"2546B","2531N",2.5
"2544V","2531N",3.2
"2545X","2531N",2.7
"2542C","2531N",2.9
"2544C","2531N",3.7
"2546S","2531N",2.6
"2531T","2531N",0.6
"2532D","2531N",0.8
"2543S","2531N",3
"2541J","2531N",2.2
"2545W","2531N",2.5
"2541X","2531N",2.3
"2541V","2531N",2
"2533L","2531N",0.8
"2531R","2531N",0.1
"2545V","2531N",2.6
"2531S","2531N",0.8
"2545G","2531N",2.2
"2544N","2531N",4.6
"2544G","2531N",3.3
"2533H","2531N",1.1
"2542L","2531N",3.6
"2545D","2531N",2.5
"2543A","2531N",3
"2544D","2531N",3.8
"2544W","2531N",3.4
"2544R","2531N",4
"2544B","2531N",2.7
"2532E","2531N",0.8
"2542V","2531N",3.1
"2546R","2531N",2.7
"2541A","2531N",2.3
"2542B","2531N",3
"2533A","2531N",2
"2533V","2531N",1.2
"2545A","2531N",3
"2544P","2531N",4.4
"2542H","2531N",3.1
"2544M","2531N",4
"2546C","2531N",2.4
"2532B","2531N",0.7
"2543T","2531N",3.1
"2542K","2531N",3.3
"2533J","2531N",0.9
"2543C","2531N",3.7
"2541G","2531N",2.9
"2541E","2531N",2.1
"2544H","2531N",3.2
"2531X","2531N",1
"2541R","2531N",1.9
"2542T","2531N",2.6
"2544A","2531N",2.8
"2545B","2531N",2.3
"2541B","2531N",2.3
"2542P","2531N",3.1
"2541P","2531N",2
"2546X","2531N",2.4
"2544K","2531N",3.4
"2531P","2531N",0.2
"2544X","2531N",3.3
"2545E","2531N",2.9
"2544S","2531N",3.9
"2543E","2531N",3.9
"2541H","2531N",2.1
"2545T","2531N",2.4
"2533B","2531N",1.6
"2545C","2531N",2.9
"2546T","2531N",2.4
"2541T","2531N",1.9
"2542A","2531N",2.6
"2542G","2531N",3.2
"2543X","2531N",3.8
"2546E","2531N",2.6
"2545S","2531N",2.4
"2543B","2531N",3.2
"2533E","2531N",1
"2543V","2531N",3.4
"2532A","2531N",1.2
"2533K","2531N",0.9
"2545K","2531N",2.5
"2532R","2531N",0.8
"2532X","2531N",1.1
"2542X","2531N",3.7
"2545R","2531N",2.2
"2545L","2531N",2.2
"2544E","2531N",3.9
"2541C","2531N",1.6
"2542R","2531N",2.3
"2532T","2531N",0.6
"2546V","2531N",2.4
"2543R","2531N",2.9
"2542N","2531N",3.7
"2542E","2531N",3.1
"2546A","2531N",2.3
"2545P","2531N",1.8
"2533X","2531N",1.4
"2545H","2531N",1.8
"2533T","2531N",0.9
"2544L","2531N",4.1
"2531V","2531N",0.7
"2532V","2531N",1
"2545N","2531N",1.9
"2545J","2531N",2.3
"2533G","2531N",1.2
"2543G","2531N",3.8
"2533S","2531N",1.6
"2541S","2531N",1.9
"2544J","2531N",3.4
"2532S","2531N",0.6
"2542W","2531N",3.5
"2541A","2531P",2.1
"2531R","2531P",0.3
"2533J","2531P",0.7
"2544S","2531P",3.7
"2545B","2531P",2
"2541D","2531P",1.8
"2541S","2531P",1.7
"2545S","2531P",2.1
"2544V","2531P",3
"2533T","2531P",0.7
"2541E","2531P",1.9
"2532X","2531P",0.9
"2545G","2531P",1.9
"2546A","2531P",2.1
"2542J","2531P",3.3
"2543B","2531P",3
"2533K","2531P",0.6
"2546R","2531P",2.5
"2543R","2531P",2.6
"2541R","2531P",1.7
"2541B","2531P",2
"2541H","2531P",1.9
"2541X","2531P",2.1
"2542V","2531P",2.9
"2533G","2531P",1
"2546E","2531P",2.4
"2545T","2531P",2.1
"2546V","2531P",2.2
"2544A","2531P",2.6
"2542R","2531P",2.1
"2532C","2531P",0.4
"2544E","2531P",3.7
"2545K","2531P",2.2
"2544C","2531P",3.4
"2544N","2531P",4.3
"2544B","2531P",2.5
"2541T","2531P",1.7
"2545W","2531P",2.3
"2542A","2531P",2.4
"2545P","2531P",1.6
"2533H","2531P",0.9
"2542X","2531P",3.5
"2542E","2531P",2.9
"2531T","2531P",0.5
"2544X","2531P",3.1
"2543T","2531P",2.9
"2531S","2531P",0.9
"2545V","2531P",2.4
"2544J","2531P",3.1
"2541P","2531P",1.7
"2532T","2531P",0.4
"2544D","2531P",3.5
"2542G","2531P",3
"2533L","2531P",0.6
"2546T","2531P",2.2
"2533E","2531P",0.8
"2544L","2531P",3.9
"2545H","2531P",1.5
"2545L","2531P",2
"2533B","2531P",1.3
"2542L","2531P",3.4
"2531X","2531P",0.9
"2542P","2531P",2.9
"2544T","2531P",3.3
"2542N","2531P",3.5
"2545X","2531P",2.5
"2544H","2531P",3
"2542C","2531P",2.7
"2544W","2531P",3.1
"2543E","2531P",3.7
"2532E","2531P",0.6
"2544G","2531P",3.1
"2541C","2531P",1.4
"2542W","2531P",3.3
"2532B","2531P",0.4
"2545N","2531P",1.7
"2533C","2531P",0.7
"2533X","2531P",1.2
"2545E","2531P",2.7
"2543V","2531P",3.2
"2541V","2531P",1.8
"2542T","2531P",2.4
"2544K","2531P",3.1
"2545C","2531P",2.7
"2546X","2531P",2.2
"2543A","2531P",2.8
"2532S","2531P",0.3
"2545R","2531P",2
"2542K","2531P",3.1
"2532V","2531P",0.8
"2543X","2531P",3.5
"2545J","2531P",2
"2543G","2531P",3.6
"2544P","2531P",4.2
"2542H","2531P",2.9
"2531V","2531P",0.6
"2546S","2531P",2.4
"2542B","2531P",2.8
"2533A","2531P",1.8
"2532A","2531P",1
"2543C","2531P",3.4
"2533V","2531P",1
"2545D","2531P",2.3
"2545A","2531P",2.8
"2541G","2531P",2.7
"2546C","2531P",2.2
"2543S","2531P",2.8
"2546B","2531P",2.3
"2544R","2531P",3.8
"2532D","2531P",0.6
"2544M","2531P",3.7
"2533S","2531P",1.4
"2532R","2531P",0.6
"2541J","2531P",2
"2543E","2531R",4
"2531X","2531R",0.9
"2541C","2531R",1.7
"2543A","2531R",3
"2544V","2531R",3.3
"2532X","2531R",1.2
"2542E","2531R",3.2
"2541R","2531R",2
"2545T","2531R",2.4
"2546C","2531R",2.4
"2542P","2531R",3.2
"2541B","2531R",2.3
"2544B","2531R",2.7
"2543R","2531R",2.9
"2541A","2531R",2.3
"2533X","2531R",1.4
"2545C","2531R",2.9
"2545B","2531R",2.3
"2541V","2531R",2
"2541T","2531R",2
"2544K","2531R",3.4
"2532S","2531R",0.6
"2532V","2531R",1
"2545R","2531R",2.2
"2533K","2531R",0.8
"2545L","2531R",2.2
"2543B","2531R",3.3
"2544J","2531R",3.4
"2542K","2531R",3.4
"2544W","2531R",3.4
"2532E","2531R",0.9
"2532D","2531R",0.9
"2544D","2531R",3.8
"2543S","2531R",3
"2543T","2531R",3.2
"2531S","2531R",0.7
"2542A","2531R",2.7
"2542B","2531R",3.1
"2544L","2531R",4.2
"2544A","2531R",2.8
"2544H","2531R",3.2
"2541D","2531R",2.1
"2542V","2531R",3.2
"2544T","2531R",3.6
"2532R","2531R",0.9
"2545K","2531R",2.5
"2545A","2531R",3
"2546V","2531R",2.4
"2533A","2531R",2
"2543V","2531R",3.5
"2546B","2531R",2.5
"2545V","2531R",2.7
"2546T","2531R",2.3
"2545N","2531R",2
"2541X","2531R",2.3
"2541E","2531R",2.2
"2544X","2531R",3.3
"2542T","2531R",2.7
"2544E","2531R",3.9
"2544G","2531R",3.4
"2533J","2531R",0.9
"2542C","2531R",3
"2531V","2531R",0.6
"2542X","2531R",3.8
"2546A","2531R",2.3
"2545G","2531R",2.2
"2542L","2531R",3.7
"2532B","2531R",0.7
"2542N","2531R",3.8
"2541G","2531R",3
"2533T","2531R",0.9
"2532T","2531R",0.7
"2544P","2531R",4.5
"2546X","2531R",2.3
"2546R","2531R",2.7
"2533H","2531R",1.1
"2542W","2531R",3.6
"2533L","2531R",0.8
"2545S","2531R",2.4
"2533B","2531R",1.6
"2533C","2531R",1
"2541J","2531R",2.3
"2541H","2531R",2.2
"2544N","2531R",4.6
"2546E","2531R",2.6
"2544S","2531R",4
"2546S","2531R",2.6
"2533E","2531R",1
"2541P","2531R",2
"2533S","2531R",1.5
"2545X","2531R",2.7
"2531T","2531R",0.5
"2545D","2531R",2.6
"2545J","2531R",2.3
"2533G","2531R",1.3
"2545W","2531R",2.5
"2541S","2531R",2
"2532C","2531R",0.3
"2543C","2531R",3.7
"2543G","2531R",3.9
"2545E","2531R",2.9
"2543X","2531R",3.8
"2542H","2531R",3.2
"2545H","2531R",1.8
"2542J","2531R",3.6
"2544R","2531R",4.1
"2544M","2531R",4
"2542R","2531R",2.4
"2542G","2531R",3.3
"2544C","2531R",3.7
"2545P","2531R",1.9
"2533V","2531R",1.2
"2532A","2531R",1.3
"2541C","2531S",2
"2532R","2531S",1.2
"2533T","2531S",1.3
"2533X","2531S",1.7
"2546X","2531S",2
"2532X","2531S",1.7
"2545N","2531S",2.1
"2542N","2531S",4.2
"2546B","2531S",2.3
"2544L","2531S",4.5
"2542K","2531S",3.7
"2542T","2531S",3.1
"2541J","2531S",2.6
"2545R","2531S",2.4
"2531T","2531S",0.5
"2542H","2531S",3.6
"2533S","2531S",1.4
"2544H","2531S",3.4
"2543X","2531S",4.1
"2542C","2531S",3.3
"2541V","2531S",2.1
"2544M","2531S",4.3
"2544P","2531S",4.9
"2544B","2531S",2.8
"2542E","2531S",3.6
"2532C","2531S",0.5
"2541R","2531S",2.3
"2545C","2531S",2.8
"2541S","2531S",2.3
"2531V","2531S",0.4
"2545H","2531S",2.2
"2542A","2531S",3
"2542R","2531S",2.8
"2541A","2531S",2.3
"2545K","2531S",2.6
"2545S","2531S",2.6
"2541X","2531S",2.2
"2546T","2531S",2.1
"2541D","2531S",2.3
"2542L","2531S",4.1
"2546S","2531S",2.5
"2545W","2531S",2.6
"2543B","2531S",3.6
"2541B","2531S",2.3
"2541T","2531S",2.2
"2545E","2531S",2.9
"2542P","2531S",3.6
"2533E","2531S",1
"2532T","2531S",1.2
"2533V","2531S",1.4
"2543C","2531S",4
"2532S","2531S",1
"2542V","2531S",3.5
"2546C","2531S",2.3
"2546R","2531S",2.6
"2533A","2531S",2
"2546A","2531S",2.1
"2532D","2531S",1.4
"2544J","2531S",3.6
"2545X","2531S",2.8
"2544K","2531S",3.6
"2545V","2531S",2.7
"2542J","2531S",3.9
"2533G","2531S",1.5
"2533C","2531S",1.3
"2544S","2531S",4.2
"2542G","2531S",3.7
"2533L","2531S",0.9
"2533K","2531S",1
"2543G","2531S",4.2
"2546V","2531S",2.2
"2544D","2531S",3.9
"2545G","2531S",2.3
"2544E","2531S",4
"2545A","2531S",3
"2544A","2531S",2.8
"2533J","2531S",1.1
"2532E","2531S",1.3
"2532B","2531S",1.2
"2544R","2531S",4.3
"2532V","2531S",1.5
"2545B","2531S",2.6
"2544V","2531S",3.4
"2542W","2531S",4
"2545J","2531S",2.4
"2541E","2531S",2.5
"2544X","2531S",3.4
"2541P","2531S",2.4
"2543R","2531S",3.2
"2543A","2531S",3.3
"2545D","2531S",2.8
"2541H","2531S",2.5
"2543S","2531S",3.3
"2531X","2531S",0.6
"2544T","2531S",3.8
"2545L","2531S",2.4
"2544N","2531S",4.9
"2542X","2531S",4.1
"2541G","2531S",3.3
"2532A","2531S",1.7
"2543E","2531S",4.3
"2533H","2531S",1.4
"2543T","2531S",3.5
"2542B","2531S",3.4
"2545P","2531S",2
"2533B","2531S",1.8
"2546E","2531S",2.4
"2543V","2531S",3.7
"2544G","2531S",3.6
"2544C","2531S",3.8
"2545T","2531S",2.6
"2544W","2531S",3.5
"2543G","2531T",3.7
"2541E","2531T",2
"2542B","2531T",3
"2533C","2531T",0.8
"2541C","2531T",1.5
"2542E","2531T",3.1
"2542P","2531T",3.1
"2541D","2531T",1.9
"2542A","2531T",2.5
"2531V","2531T",0.1
"2533V","2531T",0.9
"2541X","2531T",1.9
"2543E","2531T",3.8
"2543S","2531T",2.9
"2544W","2531T",3.1
"2544T","2531T",3.4
"2545D","2531T",2.4
"2543X","2531T",3.7
"2542K","2531T",3.3
"2542H","2531T",3.2
"2542J","2531T",3.5
"2546S","2531T",2.2
"2546V","2531T",1.9
"2533T","2531T",0.8
"2546R","2531T",2.3
"2542X","2531T",3.7
"2545J","2531T",2
"2541T","2531T",1.8
"2533J","2531T",0.6
"2532D","2531T",0.9
"2542C","2531T",2.9
"2533H","2531T",1
"2544B","2531T",2.4
"2533G","2531T",1.1
"2542R","2531T",2.4
"2545N","2531T",1.7
"2543V","2531T",3.3
"2544L","2531T",4
"2541A","2531T",2
"2532C","2531T",0.2
"2544X","2531T",3
"2543R","2531T",2.7
"2543C","2531T",3.6
"2541V","2531T",1.7
"2541R","2531T",1.9
"2532R","2531T",0.8
"2533S","2531T",1.1
"2544H","2531T",3
"2532E","2531T",0.8
"2545G","2531T",1.9
"2545B","2531T",2.2
"2544S","2531T",3.8
"2541P","2531T",1.9
"2542G","2531T",3.2
"2546C","2531T",2
"2542T","2531T",2.6
"2533A","2531T",1.6
"2533K","2531T",0.5
"2545R","2531T",2
"2545L","2531T",2
"2531X","2531T",0.4
"2545A","2531T",2.7
"2541H","2531T",2.1
"2545S","2531T",2.2
"2532A","2531T",1.3
"2543B","2531T",3.1
"2545P","2531T",1.6
"2545K","2531T",2.2
"2541G","2531T",2.8
"2542N","2531T",3.7
"2544K","2531T",3.2
"2544A","2531T",2.5
"2542L","2531T",3.6
"2545T","2531T",2.2
"2544E","2531T",3.6
"2532V","2531T",1.1
"2546B","2531T",2
"2533L","2531T",0.4
"2542W","2531T",3.5
"2545X","2531T",2.4
"2546E","2531T",2.2
"2546X","2531T",1.9
"2546A","2531T",1.9
"2545H","2531T",1.7
"2532S","2531T",0.6
"2545C","2531T",2.5
"2541S","2531T",1.9
"2544R","2531T",3.9
"2544N","2531T",4.5
"2532B","2531T",0.8
"2533E","2531T",0.6
"2533B","2531T",1.4
"2544J","2531T",3.2
"2532T","2531T",0.7
"2532X","2531T",1.2
"2544P","2531T",4.4
"2541J","2531T",2.1
"2544V","2531T",3
"2541B","2531T",1.9
"2544D","2531T",3.5
"2546T","2531T",1.9
"2544G","2531T",3.2
"2543A","2531T",2.8
"2545E","2531T",2.5
"2543T","2531T",3.1
"2545W","2531T",2.2
"2544C","2531T",3.4
"2545V","2531T",2.3
"2542V","2531T",3.1
"2533X","2531T",1.3
"2544M","2531T",3.8
"2532S","2531V",0.7
"2544K","2531V",3.2
"2541T","2531V",1.8
"2544V","2531V",3
"2533G","2531V",1.1
"2544J","2531V",3.2
"2545D","2531V",2.4
"2545H","2531V",1.8
"2545E","2531V",2.5
"2542K","2531V",3.3
"2546R","2531V",2.3
"2546C","2531V",1.9
"2533L","2531V",0.5
"2542L","2531V",3.7
"2546X","2531V",1.8
"2542E","2531V",3.2
"2545G","2531V",1.9
"2533K","2531V",0.6
"2545B","2531V",2.2
"2541X","2531V",1.9
"2545A","2531V",2.6
"2542X","2531V",3.7
"2546E","2531V",2.1
"2533B","2531V",1.4
"2541E","2531V",2.1
"2545T","2531V",2.2
"2545J","2531V",2
"2545P","2531V",1.6
"2533E","2531V",0.6
