"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2546V","2548",52.0596909931168,4.27556636437299,52.0294425012506,4.29039874619047,1,0,29,18.8,10.2,0,0,4.5,1.4,3.1,"2541AE","2541A",1
"2548","2546V",52.0294425012506,4.29039874619047,52.0596909931168,4.27556636437299,0,1,34.2,18.9,10.2,5.2,1,5.6,1.4,4.2,"2545NW","2545N",1
"2546V","2522",52.0596909931168,4.27556636437299,52.0603806984478,4.32727437307002,1,0,29.4,10.8,14.9,3.7,1,5.1,0.8,4.3,"2533SW","2533S",1
"2522","2546V",52.0603806984478,4.32727437307002,52.0596909931168,4.27556636437299,0,1,25,8.3,13.2,3.4,1,4.7,0.6,4.1,"2532CP","2532C",1
"2518","2533V",52.0811391704393,4.29422163398023,52.0502735545728,4.28958147252202,0,1,40.4,23.6,10.4,6.4,1,5.3,1.7,3.6,"2533SR","2533S",1
"2546B","2525",52.0591161365999,4.27399671521609,52.0623766403396,4.3033052949289,1,0,23.1,17.4,5.6,0,0,2.8,1.3,1.5,"2533SW","2533S",1
"2525","2546B",52.0623766403396,4.3033052949289,52.0591161365999,4.27399671521609,0,1,22.4,17.6,4.8,0,0,2.8,1.3,1.5,"2546AD","2546A",1
"2533L","2624",52.0524663644024,4.29612770686802,51.9951639454664,4.35577193846277,1,0,51.9,15.9,28.7,7.3,2,13.1,1.2,11.9,"2531BJ","2531B",1
"2624","2533J",51.9951639454664,4.35577193846277,52.0509015842924,4.29388139874333,0,1,53.2,17.1,29.5,6.5,1,13.2,1.3,11.9,"2545GM","2545G",1
"2288","2543A",52.0327667740991,4.33716640779124,52.0434639733693,4.26411809103701,0,1,44.8,22.3,17.9,4.6,1,7.5,1.6,5.9,"2545JT","2545J",1
"2546R","2522",52.0570615813484,4.26887575509814,52.0603806984478,4.32727437307002,1,0,34.1,10,21.6,2.5,1,7.4,0.7,6.7,"2545CG","2545C",1
"2522","2546R",52.0603806984478,4.32727437307002,52.0570615813484,4.26887575509814,0,1,30.4,8.4,18.5,3.4,1,6.1,0.6,5.5,"2532CP","2532C",1
"2722","2542K",52.0534861981297,4.5131635276735,52.0364390701642,4.26312437750577,0,1,72.6,25.3,44.2,3.1,1,23.5,1.8,21.7,"2544GH","2544G",1
"2542K","2722",52.0364390701642,4.26312437750577,52.0534861981297,4.5131635276735,1,0,73.6,25.9,45.5,2.3,1,24.4,1.8,22.6,"2543SW","2543S",1
"2624","2542N",51.9951639454664,4.35577193846277,52.0331301458607,4.25975908904229,0,1,57.7,17.5,32,8.2,1,14,1.3,12.7,"2545GM","2545G",1
"2546S","2525",52.0578707378872,4.27105525072026,52.0623766403396,4.3033052949289,1,0,25.2,18.2,7,0,0,3.4,1.3,2.1,"2533AD","2533A",1
"2624","2542E",51.9951639454664,4.35577193846277,52.0358716120214,4.26738012702625,0,1,54.6,33.6,21,0,0,11.7,2.5,9.2,"-1","-1",1
"2542E","2566",52.0358716120214,4.26738012702625,52.0807850576839,4.25230755076599,1,0,53.2,30.2,23,0,0,9.8,2.3,7.5,"2542KG","2542K",1
"2573","2542J",52.0653736707086,4.2841344796241,52.0385335010829,4.25810585554739,0,1,21.8,11.9,9.9,0,0,4.4,0.9,3.5,"2544GH","2544G",1
"2546B","2522",52.0591161365999,4.27399671521609,52.0603806984478,4.32727437307002,1,0,32,11.9,17.6,2.5,1,6,0.9,5.1,"2533SW","2533S",1
"2522","2546B",52.0603806984478,4.32727437307002,52.0591161365999,4.27399671521609,0,1,26.8,10.1,13.2,3.4,1,4.8,0.7,4.1,"2532CP","2532C",1
"2542E","2563",52.0358716120214,4.26738012702625,52.0726961183115,4.27055559115989,1,0,34.7,10.3,24.4,0,0,8.8,0.7,8.1,"2542KG","2542K",1
"2544E","2555",52.0464828004557,4.25028829153627,52.0609982076522,4.2254911744316,1,0,31.3,22.5,8.8,0,0,4.9,1.7,3.2,"-1","-1",1
"2564","2533H",52.0681123354441,4.25800296323022,52.0487012158308,4.29070086181086,0,1,28.3,15.7,12.6,0,0,4.5,1.2,3.3,"2541EA","2541E",1
"2544G","2566",52.0425265562463,4.25954339365026,52.0807850576839,4.25230755076599,1,0,46,14.3,26.8,4.8,1,8.6,1,7.6,"2543BG","2543B",1
