"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2353","2544G",52.16652,4.53855,52.0425265562463,4.25954339365026,0,1,94.6,12.7,68.2,13.8,3,28.9,0.9,28,"2543BG"
"2544G","2284",52.0425265562463,4.25954339365026,52.04115,4.313038,1,0,23.3,6.9,14.2,2.2,1,5.4,0.5,4.9,"2545JT"
"2284","2544G",52.04115,4.313038,52.0425265562463,4.25954339365026,0,1,23.5,5,14.3,4.2,1,5.4,0.4,5,"2545JT"
"2525","2543A",52.06238,4.303305,52.0434639733693,4.26411809103701,0,1,26.2,14.9,11.3,0,0,4.9,1.1,3.8,"2544GA"
"2544V","2512",52.0454790140349,4.25995965447312,52.07346,4.304762,1,0,22.9,6,16.9,0,0,5.3,0.4,4.9,"2543AA"
"2512","2544V",52.07346,4.304762,52.0454790140349,4.25995965447312,0,1,22,6.6,15.4,0,0,5.3,0.5,4.8,"2544GA"
"2584","2544G",52.10258,4.279296,52.0425265562463,4.25954339365026,0,1,43.3,9.9,27.4,6,1,10,0.7,9.3,"2543BG"
"2544G","2548",52.0425265562463,4.25954339365026,52.02944,4.290399,1,0,29.9,10.7,15.2,4.1,1,5.5,0.8,4.7,"2541AE"
"2544R","2353",52.0399609296029,4.25012156605765,52.16652,4.53855,1,0,111.5,28.2,73,10.3,2,30.9,1.9,29,"2544CM"
"2353","2544R",52.16652,4.53855,52.0399609296029,4.25012156605765,0,1,99.4,15.3,70.3,13.8,3,29.9,1.1,28.8,"2544RM"
"2544M","2555",52.0396112782528,4.25129396965672,52.061,4.225491,1,0,35.3,9.8,22.6,3,1,8.5,0.7,7.8,"2533AD"
"2555","2544M",52.061,4.225491,52.0396112782528,4.25129396965672,0,1,38.9,9.7,24.1,5.1,1,8.9,0.7,8.2,"2533AD"
"2544M","3011",52.0396112782528,4.25129396965672,51.91868,4.487522,1,0,88.2,26.1,54,8.1,1,33.6,1.5,32.1,"-1"
"3011","2544M",51.91868,4.487522,52.0396112782528,4.25129396965672,0,1,82.6,25.5,53.8,3.3,1,33.6,1.5,32.1,"2544EC"
"2544H","2564",52.0457978448674,4.26058713725417,52.06811,4.258003,1,0,22,5.5,16.5,0,0,5.8,0.4,5.4,"2543AA"
"2564","2544H",52.06811,4.258003,52.0457978448674,4.26058713725417,0,1,21.2,5.6,15.6,0,0,5.9,0.4,5.5,"2544GA"
"2544K","2291",52.0441502180298,4.25828520254179,52.01948,4.277017,1,0,35.9,30.7,5.2,0,0,4.3,2.3,2,"-1"
"2291","2544K",52.01948,4.277017,52.0441502180298,4.25828520254179,0,1,37,31.1,5.9,0,0,4.4,2.3,2.1,"-1"
"2544K","3011",52.0441502180298,4.25828520254179,51.91868,4.487522,1,0,86.4,16.5,60.5,9.4,2,33.9,0.9,33,"2543BG"
"3011","2544K",51.91868,4.487522,52.0441502180298,4.25828520254179,0,1,82,15.2,58.7,8,2,33.7,0.8,32.9,"2543BG"
"2544K","3061",52.0441502180298,4.25828520254179,51.92704,4.504965,1,0,85,23.6,58.3,3,1,35.7,1.4,34.3,"-1"
"3061","2544K",51.92704,4.504965,52.0441502180298,4.25828520254179,0,1,84.3,22.7,58.4,3.3,1,35.8,1.3,34.5,"2544EB"
"3061","2543S",51.92704,4.504965,52.0403612649755,4.26585945503325,0,1,92.6,11.2,71.3,10.1,2,39.6,0.5,39.1,"2543SL"
